genename	clinvar_clnsig	count	overall_prob
ABI3	Affects	0	0
ABI3	association	0	0
ABI3	Benign	0	0
ABI3	Benign/Likely_benign	0	0
ABI3	Benign|drug_response	0	0
ABI3	Benign|risk_factor	0	0
ABI3	Conflicting_interpretations_of_pathogenicity	0	0
ABI3	Conflicting_interpretations_of_pathogenicity|association	0	0
ABI3	Conflicting_interpretations_of_pathogenicity|risk_factor	0	0
ABI3	drug_response	0	0
ABI3	Likely_benign	2	9.58367107894986e-09
ABI3	Likely_benign|association	0	0
ABI3	Likely_pathogenic	0	0
ABI3	Likely_pathogenic,_low_penetrance	0	0
ABI3	Likely_risk_allele	0	0
ABI3	not_provided	0	0
ABI3	other	0	0
ABI3	Pathogenic	0	0
ABI3	Pathogenic/Likely_pathogenic	0	0
ABI3	Pathogenic/Likely_pathogenic/Likely_risk_allele	0	0
ABI3	Pathogenic/Likely_risk_allele	0	0
ABI3	Pathogenic|drug_response	0	0
ABI3	Pathogenic|other	0	0
ABI3	Pathogenic|risk_factor	0	0
ABI3	protective|risk_factor	0	0
ABI3	risk_factor	0	0
ABI3	Uncertain_significance	6	5.46186892380618e-08
ACD	Affects	0	0
ACD	association	0	0
ACD	Benign	1	0.371807766371418
ACD	Benign/Likely_benign	2	0.00962053918307237
ACD	Benign|drug_response	0	0
ACD	Benign|risk_factor	0	0
ACD	Conflicting_interpretations_of_pathogenicity	13	0.00253823272270071
ACD	Conflicting_interpretations_of_pathogenicity|association	0	0
ACD	Conflicting_interpretations_of_pathogenicity|risk_factor	0	0
ACD	drug_response	0	0
ACD	Likely_benign	5	0.000104197987039534
ACD	Likely_benign|association	0	0
ACD	Likely_pathogenic	0	0
ACD	Likely_pathogenic,_low_penetrance	0	0
ACD	Likely_risk_allele	0	0
ACD	not_provided	0	0
ACD	other	0	0
ACD	Pathogenic	0	0
ACD	Pathogenic/Likely_pathogenic	0	0
ACD	Pathogenic/Likely_pathogenic/Likely_risk_allele	0	0
ACD	Pathogenic/Likely_risk_allele	0	0
ACD	Pathogenic|drug_response	0	0
ACD	Pathogenic|other	0	0
ACD	Pathogenic|risk_factor	0	0
ACD	protective|risk_factor	0	0
ACD	risk_factor	0	0
ACD	Uncertain_significance	168	0.00582678764051014
ACP5	Affects	0	0
ACP5	association	0	0
ACP5	Benign	5	0.110983654206659
ACP5	Benign/Likely_benign	0	0
ACP5	Benign|drug_response	0	0
ACP5	Benign|risk_factor	0	0
ACP5	Conflicting_interpretations_of_pathogenicity	4	0.00187992979275153
ACP5	Conflicting_interpretations_of_pathogenicity|association	0	0
ACP5	Conflicting_interpretations_of_pathogenicity|risk_factor	0	0
ACP5	drug_response	0	0
ACP5	Likely_benign	6	0.0022867759673163
ACP5	Likely_benign|association	0	0
ACP5	Likely_pathogenic	2	2.09731506000121e-05
ACP5	Likely_pathogenic,_low_penetrance	0	0
ACP5	Likely_risk_allele	0	0
ACP5	not_provided	0	0
ACP5	other	0	0
ACP5	Pathogenic	3	1.74807639307106e-05
ACP5	Pathogenic/Likely_pathogenic	2	1.74934627734658e-05
ACP5	Pathogenic/Likely_pathogenic/Likely_risk_allele	0	0
ACP5	Pathogenic/Likely_risk_allele	0	0
ACP5	Pathogenic|drug_response	0	0
ACP5	Pathogenic|other	0	0
ACP5	Pathogenic|risk_factor	0	0
ACP5	protective|risk_factor	0	0
ACP5	risk_factor	0	0
ACP5	Uncertain_significance	73	0.0022417522203777
ACTB	Affects	0	0
ACTB	association	0	0
ACTB	Benign	0	0
ACTB	Benign/Likely_benign	0	0
ACTB	Benign|drug_response	0	0
ACTB	Benign|risk_factor	0	0
ACTB	Conflicting_interpretations_of_pathogenicity	2	1.3139096840642e-05
ACTB	Conflicting_interpretations_of_pathogenicity|association	0	0
ACTB	Conflicting_interpretations_of_pathogenicity|risk_factor	0	0
ACTB	drug_response	0	0
ACTB	Likely_benign	0	0
ACTB	Likely_benign|association	0	0
ACTB	Likely_pathogenic	1	6.56788999997548e-06
ACTB	Likely_pathogenic,_low_penetrance	0	0
ACTB	Likely_risk_allele	0	0
ACTB	not_provided	1	6.56749745509e-06
ACTB	other	0	0
ACTB	Pathogenic	1	6.56749745509e-06
ACTB	Pathogenic/Likely_pathogenic	1	6.56749745509e-06
ACTB	Pathogenic/Likely_pathogenic/Likely_risk_allele	0	0
ACTB	Pathogenic/Likely_risk_allele	0	0
ACTB	Pathogenic|drug_response	0	0
ACTB	Pathogenic|other	0	0
ACTB	Pathogenic|risk_factor	0	0
ACTB	protective|risk_factor	0	0
ACTB	risk_factor	0	0
ACTB	Uncertain_significance	1	6.56849000002513e-06
ADA	Affects	0	0
ADA	association	0	0
ADA	Benign	2	0.01793402715756
ADA	Benign/Likely_benign	0	0
ADA	Benign|drug_response	0	0
ADA	Benign|risk_factor	0	0
ADA	Conflicting_interpretations_of_pathogenicity	11	0.000925571946032822
ADA	Conflicting_interpretations_of_pathogenicity|association	0	0
ADA	Conflicting_interpretations_of_pathogenicity|risk_factor	0	0
ADA	drug_response	0	0
ADA	Likely_benign	5	0.000408232865898861
ADA	Likely_benign|association	0	0
ADA	Likely_pathogenic	5	7.43165234740051e-06
ADA	Likely_pathogenic,_low_penetrance	0	0
ADA	Likely_risk_allele	0	0
ADA	not_provided	1	1.48558709955893e-06
ADA	other	0	0
ADA	Pathogenic	7	4.30972363900661e-05
ADA	Pathogenic/Likely_pathogenic	11	0.000109934069798978
ADA	Pathogenic/Likely_pathogenic/Likely_risk_allele	0	0
ADA	Pathogenic/Likely_risk_allele	0	0
ADA	Pathogenic|drug_response	0	0
ADA	Pathogenic|other	0	0
ADA	Pathogenic|risk_factor	0	0
ADA	protective|risk_factor	0	0
ADA	risk_factor	0	0
ADA	Uncertain_significance	55	0.000569974922047467
ADA2	Affects	0	0
ADA2	association	0	0
ADA2	Benign	1	0.163054886109136
ADA2	Benign/Likely_benign	2	0.00557767848873014
ADA2	Benign|drug_response	0	0
ADA2	Benign|risk_factor	0	0
ADA2	Conflicting_interpretations_of_pathogenicity	6	0.00183907640707148
ADA2	Conflicting_interpretations_of_pathogenicity|association	0	0
ADA2	Conflicting_interpretations_of_pathogenicity|risk_factor	0	0
ADA2	drug_response	0	0
ADA2	Likely_benign	2	0.00029193406643635
ADA2	Likely_benign|association	0	0
ADA2	Likely_pathogenic	2	2.1246431436639e-05
ADA2	Likely_pathogenic,_low_penetrance	0	0
ADA2	Likely_risk_allele	0	0
ADA2	not_provided	0	0
ADA2	other	0	0
ADA2	Pathogenic	6	0.000265442326971455
ADA2	Pathogenic/Likely_pathogenic	6	0.000461822561677483
ADA2	Pathogenic/Likely_pathogenic/Likely_risk_allele	0	0
ADA2	Pathogenic/Likely_risk_allele	0	0
ADA2	Pathogenic|drug_response	0	0
ADA2	Pathogenic|other	0	0
ADA2	Pathogenic|risk_factor	0	0
ADA2	protective|risk_factor	0	0
ADA2	risk_factor	0	0
ADA2	Uncertain_significance	86	0.00293744329836343
ADAM17	Affects	0	0
ADAM17	association	0	0
ADAM17	Benign	3	0.0105881767646622
ADAM17	Benign/Likely_benign	2	0.00341250351998768
ADAM17	Benign|drug_response	0	0
